sample_date,facility,sampling_point,discharge_route,parameter_code,parameter_tr,value,unit,measured_flag,notes
2025-01-13,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,TSS,AKM,138.0,mg/L,True,
2025-01-13,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,PH,PH,8.39,,True,
2025-01-13,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,TEMP_C,SICAKLIK,26.5,°C,True,
2025-01-13,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,COLOR,RENK,151.1,Pt-Co,True,
2025-01-13,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,NH4,NH4,0.07,mg/L,True,
2025-01-13,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,CL_FREE,KLOR,0.03,mg/L,True,
2025-01-13,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,CR_TOTAL,T KROM,0.007,mg/L,True,
2025-01-13,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,SULFUR,SÜLFÜR,0.053,mg/L,True,
2025-01-13,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,SULFITE,SÜLFİT,0.035,mg/L,True,
2025-01-13,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,PHENOL,FENOL,0.377,mg/L,True,
2025-01-13,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,OIL_GREASE,YAĞ GRES,1.0,mg/L,True,
2025-01-13,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,ZN,ÇİNKO,0.01,mg/L,True,
2025-01-14,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,COD,KOI,174.0,mg/L,True,
2025-01-14,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,TSS,AKM,126.0,mg/L,True,
2025-01-14,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,PH,PH,8.45,,True,
2025-01-14,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,TEMP_C,SICAKLIK,27.5,°C,True,
2025-01-14,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,COLOR,RENK,232.0,Pt-Co,True,
2025-01-14,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,NH4,NH4,0.48,mg/L,True,
2025-01-14,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,CL_FREE,KLOR,,mg/L,False,
2025-01-14,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,CR_TOTAL,T KROM,,mg/L,False,
